Athlete,Time (seconds),Date
Usain Bolt (Jamaica),9.58,"Aug 16, 2009"
Usain Bolt (Jamaica),9.69,"Aug 16, 2008"
Usain Bolt (Jamaica),9.72,"May 31, 2008"
Asafa Powell (Jamaica),9.74,"Sept 9, 2007"
Asafa Powell (Jamaica),9.77,"June 14, 2005"
Tim Montgomery (USA),9.78,"Sept. 14, 2002 (doped)"
Maurice Greene (USA),9.79,"June 16, 1999"
Donovan Bailey (Canada),9.84,"July 27, 1996"
Leroy Burrell (USA),9.85,"July 6, 1994"
Carl Lewis (USA),9.86,"Aug. 25, 1991"
Leroy Burrell (USA),9.90,"June 14, 1991"
Carl Lewis (USA),9.92,"Sept. 24, 1988"
Calvin Smith (USA),9.93,"July 3, 1983"
Jim Hines (USA),9.95,"Oct. 14, 1968"
Jim Hines (USA),9.99,"June 20, 1968"
Armin Hary (West Germany),10.0,"June 21, 1960"
Willie Williams (USA),10.1,"Aug. 3, 1956"
Jesse Owens (USA),10.2,"June 20, 1936"
Percy Williams (Canada),10.3,"Aug. 9, 1930"
Charles Paddock (USA),10.4,"April 23, 1921"
Donald Lippincott (USA),10.6,"July 6, 1912"
